date,no1,no2,no3,no4,no5
2014-01-01 00:00:00,1.070766,-1.978613,-0.392007,0.526049,0.242346
2014-01-01 01:00:00,0.339976,0.060686,0.730476,-0.044703,0.522309
2014-01-01 02:00:00,0.320233,-1.983326,-1.022676,-0.984216,0.416025
2014-01-01 03:00:00,0.726895,-0.117099,0.449362,0.782791,-0.179425
2014-01-01 04:00:00,-1.026821,-2.421568,-0.291091,-0.632801,0.030950
2014-01-01 05:00:00,0.556711,1.946578,0.018252,0.797890,0.166613
2014-01-01 06:00:00,1.120647,-2.022026,-0.638864,-1.386077,1.126490
2014-01-01 07:00:00,0.084787,-1.166621,0.189467,0.477045,-0.656544
2014-01-01 08:00:00,-0.982331,0.283212,-0.034384,-0.869120,0.568554
2014-01-01 09:00:00,-1.305951,0.452365,-0.167475,-0.161296,-0.824001
2014-01-01 10:00:00,-0.845385,-1.259195,0.844534,0.333369,-1.190283
2014-01-01 11:00:00,0.364264,0.756711,-1.075355,0.645814,0.464061
2014-01-01 12:00:00,0.654566,-2.124238,0.443527,0.803037,0.859523
2014-01-01 13:00:00,1.497385,-0.187427,-1.287525,-0.023419,0.715032
2014-01-01 14:00:00,-2.105045,1.266018,0.440908,1.233115,-0.904460
2014-01-01 15:00:00,-1.965307,-1.984029,-1.325635,1.160289,2.730592
2014-01-01 16:00:00,-1.703699,1.976086,-0.384835,-0.848025,0.262053
2014-01-01 17:00:00,0.710466,0.400329,1.423286,0.306272,-2.516875
2014-01-01 18:00:00,-0.472731,0.323009,-1.240073,-0.701941,-2.256000
2014-01-01 19:00:00,-0.457765,0.661125,0.137276,-0.533220,1.170141
2014-01-01 20:00:00,0.664699,-0.140703,0.782487,2.145066,-0.622136
2014-01-01 21:00:00,0.407455,-1.874028,0.721882,1.301284,0.185007
2014-01-01 22:00:00,0.015663,0.474480,-0.192097,-1.490703,-0.272996
2014-01-01 23:00:00,-1.439055,0.115873,-1.420221,-1.118177,0.836642
2014-01-02 00:00:00,-0.392220,-1.389186,-0.005076,0.189900,0.366806
2014-01-02 01:00:00,0.162202,0.793096,0.353644,-0.624381,-0.696162
2014-01-02 02:00:00,-0.018997,-0.323783,0.774414,0.205612,-0.953960
2014-01-02 03:00:00,-0.617700,-0.683402,1.973963,-0.980447,1.184787
2014-01-02 04:00:00,-0.460170,-0.094479,-1.098790,0.130099,0.690568
2014-01-02 05:00:00,-0.551103,-1.172004,-0.135412,1.063279,0.133576
2014-01-02 06:00:00,-1.373464,2.410006,-0.436754,0.370430,0.909130
2014-01-02 07:00:00,1.382559,-0.439888,-0.153008,-1.205834,-1.675144
2014-01-02 08:00:00,0.722527,-1.201749,0.815383,0.573984,-2.219571
2014-01-02 09:00:00,1.218031,-0.377945,-0.353637,1.507568,-0.348721
2014-01-02 10:00:00,0.641654,0.803316,1.792455,-0.322677,-1.072780
2014-01-02 11:00:00,-1.138439,-1.976068,1.037664,1.114332,0.254079
2014-01-02 12:00:00,-0.797071,-1.127664,-0.301981,1.417776,2.048744
2014-01-02 13:00:00,-0.061816,-1.391383,1.199045,-0.289742,-1.738384
2014-01-02 14:00:00,0.117733,1.338999,0.372942,1.718829,-0.096554
2014-01-02 15:00:00,3.583292,0.883219,-0.944417,-0.461620,-0.289833
2014-01-02 16:00:00,-1.437903,-1.784538,-0.145840,0.529957,-0.313571
2014-01-02 17:00:00,-1.548039,-0.715689,0.037203,-2.328696,0.078214
2014-01-02 18:00:00,-0.451245,0.342579,-0.987943,-0.035300,-0.326402
2014-01-02 19:00:00,4.165796,-1.512779,0.874666,2.559025,2.152436
2014-01-02 20:00:00,-0.368266,0.028623,0.480827,0.031336,-0.014139
2014-01-02 21:00:00,0.154943,1.379838,0.146181,-0.513651,-0.941097
2014-01-02 22:00:00,-0.395356,-1.318100,-0.864127,1.001340,0.163743
2014-01-02 23:00:00,0.759243,0.466307,-0.539613,0.308714,0.437410
2014-01-03 00:00:00,-0.367096,-1.485320,0.173350,0.263526,0.790630
2014-01-03 01:00:00,0.581363,0.663069,0.140613,-0.473585,1.098424
2014-01-03 02:00:00,-1.485053,-0.951406,0.085046,-1.886877,-0.675671
2014-01-03 03:00:00,-0.191476,0.052200,-1.262039,1.225968,-1.499692
2014-01-03 04:00:00,-0.025027,1.136772,2.740607,0.706670,0.316424
2014-01-03 05:00:00,1.207828,0.136887,-1.628489,0.197205,-0.493357
2014-01-03 06:00:00,-0.883350,0.177018,0.162613,-1.417522,1.645672
2014-01-03 07:00:00,-0.302000,-0.161060,-0.650519,0.106013,0.382498
2014-01-03 08:00:00,-1.546487,0.806300,0.661541,-0.420179,0.682084
2014-01-03 09:00:00,-0.063410,0.475531,-0.849910,-0.268112,-1.214299
2014-01-03 10:00:00,0.047087,-0.828035,2.022202,0.779237,0.464202
2014-01-03 11:00:00,-0.018336,-0.549886,-1.080434,1.298147,-0.839518
2014-01-03 12:00:00,-0.367943,0.299242,-0.233405,-0.345305,-0.048644
2014-01-03 13:00:00,0.406461,-0.214040,-1.161894,1.644448,-1.574413
2014-01-03 14:00:00,-0.025280,0.291095,0.784577,-0.612842,-0.144139
2014-01-03 15:00:00,0.302456,2.042619,0.352784,2.037884,-0.461930
2014-01-03 16:00:00,-1.516889,1.666872,0.598256,-0.765643,-0.510304
2014-01-03 17:00:00,1.470516,0.918935,-0.378489,1.396988,1.525548
2014-01-03 18:00:00,0.726143,-2.012440,0.751343,-0.548258,-1.423163
2014-01-03 19:00:00,0.494961,-0.478398,0.922789,0.994052,1.188806
2014-01-03 20:00:00,0.063601,-1.987293,0.014467,-0.906101,0.344636
2014-01-03 21:00:00,1.271040,0.150763,-0.858889,-0.120640,-0.599395
2014-01-03 22:00:00,-0.772842,-2.359378,-1.518266,-0.067426,0.212149
2014-01-03 23:00:00,-1.124091,-1.178556,-0.356352,-0.361292,-0.136687
2014-01-04 00:00:00,0.281772,-0.188094,0.452949,-0.122901,0.870327
2014-01-04 01:00:00,-0.929926,-1.680288,0.239302,-1.290004,-0.365602
2014-01-04 02:00:00,0.025723,1.904364,-0.794778,0.157968,0.123170
2014-01-04 03:00:00,-0.183905,1.481436,-0.993523,1.076650,1.392625
2014-01-04 04:00:00,-1.115045,-0.566248,-0.921056,-0.027320,1.345986
2014-01-04 05:00:00,-1.384850,-0.452822,-0.030713,-1.297790,-0.924169
2014-01-04 06:00:00,0.759098,-0.855158,-1.702182,0.139937,-0.724264
2014-01-04 07:00:00,-0.693947,0.699291,0.331283,-0.634699,-0.333484
2014-01-04 08:00:00,-0.854449,-0.063350,-0.535836,0.367460,0.919506
2014-01-04 09:00:00,1.364734,0.250642,1.696323,-2.559785,-0.738612
2014-01-04 10:00:00,-0.959560,-1.553330,-0.384743,-0.643959,1.718002
2014-01-04 11:00:00,-0.166381,-0.186023,0.967263,-0.634974,-0.431834
2014-01-04 12:00:00,-0.131649,-0.042507,1.308789,1.679683,0.873236
2014-01-04 13:00:00,-0.254386,-1.678854,0.958862,0.575935,-1.316014
2014-01-04 14:00:00,1.806189,-0.065774,-0.792917,0.121771,-1.549594
2014-01-04 15:00:00,-0.083976,-0.214416,0.240511,-1.827927,-0.821275
2014-01-04 16:00:00,1.054576,-0.036797,0.098315,0.493651,0.620797
2014-01-04 17:00:00,1.416416,-0.361917,0.191656,0.388750,0.683635
2014-01-04 18:00:00,-1.222030,-1.163756,1.871922,-0.305792,0.799963
2014-01-04 19:00:00,1.861227,0.468854,0.421833,-0.428086,0.971961
2014-01-04 20:00:00,1.832740,-0.495857,-0.423488,-0.368570,0.290064
2014-01-04 21:00:00,-1.547889,1.022487,0.097374,0.545174,0.835720
2014-01-04 22:00:00,-0.671774,0.947768,-0.652055,1.449677,0.719620
2014-01-04 23:00:00,0.274791,-1.798954,0.723624,0.690204,-0.168981
2014-01-05 00:00:00,-0.249615,-0.782712,-0.903477,-0.055224,0.957239
2014-01-05 01:00:00,0.318014,0.691717,0.267781,0.477033,-0.587876
2014-01-05 02:00:00,-0.503613,-1.560884,0.655784,0.063610,-2.119724
2014-01-05 03:00:00,1.585270,-0.759159,-0.524261,0.782574,-0.044631
2014-01-05 04:00:00,0.934789,1.129400,0.892812,0.600487,0.984401
2014-01-05 05:00:00,1.300255,0.163610,1.478574,-0.137976,-0.297895
2014-01-05 06:00:00,1.448724,-0.484470,-1.581123,-0.945545,1.499324
2014-01-05 07:00:00,0.395439,-1.576670,0.216401,0.264830,0.168700
2014-01-05 08:00:00,0.619104,1.188118,0.766361,1.338405,1.383189
2014-01-05 09:00:00,0.649060,-0.092381,0.314562,-0.129915,0.517135
2014-01-05 10:00:00,0.560847,-0.446914,1.284019,-0.121455,-0.689516
2014-01-05 11:00:00,0.650554,0.753748,-0.664777,1.452011,0.296912
2014-01-05 12:00:00,0.844518,1.284903,0.985034,-1.539101,1.013541
2014-01-05 13:00:00,2.255752,-0.152062,-0.271819,-0.670771,0.513949
2014-01-05 14:00:00,-0.118426,-0.775872,-1.317486,0.385605,-0.907179
2014-01-05 15:00:00,-0.126203,0.493461,0.431036,-0.842760,0.683823
2014-01-05 16:00:00,-0.786043,0.187422,-0.638324,-0.382191,0.733599
2014-01-05 17:00:00,-0.144206,1.386711,-0.325120,1.256642,0.646927
